Holder,Amount
,
,
,
0x0252dfbad3169ea16665d668af107d5e217579fa,16
0xf70e7013d4edd78698447bfb58696e7f386bc67c,12
0xce6e4f1dc56ee1bcb0546a021d884ecb4b22ec42,10
0x16763494c398e72a58b9802b8204e07a62c1c7de,9
0x40c664fb77317ec83b2b188ff4f485a6c71da4ca,8
0x4cd35473b99125ec4a028081cec28aa2eb5eef84,8
0x6b59918cfa9a4a360482b98e32bd0ebc61aee89e,7
0x82bb8d9fb9ec3a7da2dc3a7dcc48418dac6bbd4a,7
0x90b1c0e539413e332d7e5d8cccb199b76941ec8b,7
0x9467135a90023c731803289676302fa18e75f5fe,7
0xffcbe5a6d807d47deea491cfc9a606fdedfd8ea3,7
0x1eed0a465dca2c5f952fc59b3e8b30760bd3593c,6
0x9f0dd487e59ae7895615cc0d5dfea1617739f2a5,6
0xa24fcdff33c0c4ab0129cc72b58a9bcacf85b932,6
0xb70219c02ca65f257079370ce34cdcaff837e7cd,6
0xb833dd536e9b1b82757e1d457714d048c7bbc0eb,6
0xdef4a6f5734638670fe4c726329cafbd1640234d,6
0x02482370deaae6443af0f8bd19c4345d92364900,5
0x112513f784019b701f5556ea3c9d2c086ffcbe07,5
0x11d2e8c447b1262b6b6676d1020d1beb1b4bf611,5
0x1892cd42f514db1002f9a33d34ab9e625f3a6b61,5
0x18a7fb33be337e8983a21adc06479ae083ca4fab,5
0x1a3c34b26e0f812fe7496667902a6f18ff053833,5
0x1ddbccffb075f9242720554391d6cab8084ad2fc,5
0x257b600b084b0b82fb1a0a3caad51b87fe16b15f,5
0x28655edb9ee26ac115a12984b9bdb5b4bd69bb36,5
0x2ba4bfbf7b9bc71223cba2b8f19ca49a696da9e8,5
0x2bdec7d5d1f137393880da3d220a4a75436000f1,5
0x4416ac5643ce3263fcf0be32556f1370795e5d8e,5
0x513390c09a07b1d659f4ef61c8011691c26909af,5
0x52fc297ce072148a99bc0d6a2d8a8d34ae0b145d,5
0x587caf20ec6ffb3e6a93738d99baf87943d088cf,5
0x5bedfc16c6ff7c522b8ee480cb6d295ed5ef82ff,5
0x5c83cd1da8da92e9165bb1b5ebbdec9a06e5b97b,5
0x6213fd5a700d1a059e2fb05077c5bd1e626ed9f3,5
0x74aa8b45270cb70719070d008ec26fe568625f73,5
0x824e67982f7238293326df40a4b1bfd943f8103a,5
0x85a3d5b0405589e700b3153d294a1b92eb9e2e41,5
0x883ce32e186c69559e94c8ba276bfc4322fc194a,5
0x906a8b72e609c0372cfe380b37a672ad387501c8,5
0x95e4f2ba1299e2a91654495a4b2c58d96b55e45a,5
0x9dd9580bf833601ecfd2b6cb290139b83788726e,5
0x9e0f57c62c4c26dc9122fc5981ac3d411220a899,5
0xa19801bb2b3a8239466811913088745fb76799ae,5
0xa7fabf8a569335ad4eb5586dce6f03facdf61d01,5
0xae47114394a05d927bb54ef2e468377b3fc1458f,5
0xb29fc57a24fb71bc9ef194ef4dd7461f22366a43,5
0xbc8b718bfb350629ebbdbffc97e58cd156c6308d,5
0xc3a5e7beab2f963cda5ccadec64a9eaa86d8c253,5
0xc428f9484b574ebb1b3f84be45e425413aec18a2,5
0xce5f967fdcbab1ff86b8a7b632df33d6806c1a1b,5
0xdcb213ede09bdd3b3a0a4eba7b5b21f81e000a97,5
0xdff601647ccbc6317f6314bdf20129f74c37b1b2,5
0xe561fdbceaa225ccfa080bcd4d84382e27f6d9d9,5
0xeaddaad6500deb6b7aea9af6b0a378cd67557e40,5
0xf09f593383fa8481a1a5d14e4349f8c927583c14,5
0xf1496644aad7ade10c229e1813a0ea4f2b56221e,5
0xf1ef6fad71cbb3947f4ccae862817a5e110a17f0,5
0xf523120d8310c004ab35654dc08bb9b4b2f83361,5
0xf5b882cae990aa9bda8fae39bdd9f72554a3f989,5
0xf9856eae71b956c6eb2bec6ce437375f84bc9178,5
0xfbf23f877c2dd8ef7847bf4427a2f87d3fa651fc,5
0x9a34c612884311c747cacb0297d5d63005b08c6a,4
0xbea4ab7d0a87260b24320d6b0bcafc627f7a1737,4
0xca2ee0d41f0293ca46404ce3825e26589d3de431,4
0xf8fd2434aed4b564c8623a62519dc87fbb61d83d,4
0x12cdfacfad33c30f81b8f3b85ea50a7c357dcc1b,3
0x217d1a1c13a128eeda6a98c8be08fca9bc3e73c2,3
0x34ff3be1c150ef0fd05500c2663bbfc56d0152a7,3
0x4e99cc69bbd2611ca4ccfa621c2370c1ae95359b,3
0x4f4d1c22b802fd650bcac69263507023f9169f75,3
0x5a56fa89e6d61695c2681eceba308b78fef4cb2b,3
0x692622208552234fa37210cc8dc0b87d4c551aca,3
0x84a642d8f5af837256eac4c46264a0d53d66fd65,3
0x9b6f20e0ea7a409a31e3595210c4ccbcefa95fe5,3
0xa05bc9d3367af241c9c441f8f81f623b691f2a9e,3
0xb0643e8cb6506912a64a0b52d04ca16df1872d81,3
0xba109916a5f1381845d6fc4a2758c1abd196ff93,3
0xc6ea0144ec59edd0e7d6b67d5ba074c8677f6e80,3
0xc8d6e8717b6f0f6648803e2537aceb4b24039d2b,3
0xe80113462d62b791b9eaee68824c6531d0479881,3
0xf32738cdd702014af7b41ce4c10b2650e3ece740,3
0xf5ffb26afbdb4a16f0812908c7863677174de5fe,3
0x084c058bad49a6382090cc5fdab4ab6f64c97349,2
0x0ace6cb556e520962df2800003209f5423f245ab,2
0x10b9382ff92105102d865a10fed0c0c483805fc4,2
0x1806375191422c16372165eb69b1d5fe773c3101,2
0x186f7c8e961ea5fffb36cdc4cdaed94e40abc62a,2
0x2125fa5d1881670f7786569d5ce5b0820d4ab86e,2
0x2bc4848d787512d79ce71739d93638067e2a5161,2
0x2c44cc78d525434e36fff8e089ff98d22491db0f,2
0x2fa85587de409ebc62b8f6d2b4e2f23d5b425390,2
0x303f9b47e9925fea54c16addd7a9f47c4775b521,2
0x3106d6dbc341fd9f27448b873a72e2e1e1c18497,2
0x3539580eef6aea74f540bbc081ad60ccf9e5ee94,2
0x37ce4be6ccde73a47a9117364571e2a71acf956c,2
0x3b3ad18ffb699eae4bf7997c104a9b206ada9098,2
0x3ecb35b0012b71f04dfa994d6dea750a17cff0b3,2
0x467bfc00c09237977b85e4ec82ec02b38c524529,2
0x4e499588fe9fd9b509e2d153f51193eb508b83e0,2
0x4f96c32b9ec8dfcb04ada96ff6bdc81f92c1f81c,2
0x5009f90f584fb7d59c2cca7cfce88c1af3f662bd,2
0x563ac2a4f1ef0fd6bc0f9ecd4a7939a731fc8683,2
0x57c6812178d233246c3ae3a9e746b3443ef3df16,2
0x5883ef1414d389c1109f14f042486ec710852999,2
0x5de3c13d424a08d8141668d4b7de15bb8ca23b0b,2
0x603a59c8e44bba7635fb8bea59eab53106865d89,2
0x60a0019f67ca72efa41d8b6ca06a25ed5c7d1c44,2
0x618711478689a68aa547480c2d9ba72fbfc31774,2
0x6ec6875f2e9958f64df8f05d123dcfa3abdf3bb8,2
0x71164d7e34b9e0290e9ef77177d27e32e8beb711,2
0x73b282049b7b2727064cddbd35c0f465394c71f7,2
0x7990fb2109b07a42dd40c19f6e86058298b57b9e,2
0x7ac3fe761e1ee11f5fb79f042a4fd45911dd640f,2
0x7ba09a0449102f7f2e6398132fde0ce35d1bc985,2
0x7c9134bfedad58cb82c5d3b03b2c6efd01182269,2
0x7e4e7be312d007c6f9d3246f0816accf99bcd880,2
0x85e6cc88f3055b589eb1d4030863be2cfcc0763e,2
0x93e05d9b8a40cf5e63b748782450b29b49db93da,2
0x9494d5950802446f2abdf81149cea96227861b5c,2
0x95cc8d7fb66f07e2a1b723709b92e0d464653cc4,2
0x9c44888443bb570ab15033b0a71f5d8f273171fb,2
0x9e7a83f3f29d1d38447545baf4e80592631bb4d4,2
0xa3872bb17bed808915c5594814d127864e310b1b,2
0xa5f39a1ad13834a1079572df5feb0dfce0f5d7e5,2
0xa8176b3f8f6acc86494a3674dd87db5314ca2193,2
0xb3dc104a1c92ead8aac732d137a3ac3d4031872b,2
0xb3e19daa407fce5a664c26d74ac42400ccba8ef9,2
0xb747d0713e54a3322806e0f828a76a970d90a7a5,2
0xbb2be69428bc1b318f0f8d261221290cd7c9fe9b,2
0xbce51807bcb31ecabc47a1af05fb47e0f9e92170,2
0xbe010cc1baadaead144d39b3500076451f8fd3e0,2
0xc3656d178c208e82b4807c51f187c09677ff222a,2
0xd1a9053ab194c36e16637d0a73475274aa764738,2
0xd1c984012fcea173e99fa68c98d9549e985a4623,2
0xdba7e3bd27f4af484d2d73896193e4645a2a04ab,2
0xe0dea755a9853f8ed2d14e3e88393157e81beaf3,2
0xe91e73b5f5d0640082107fe61d6381bf6883cd1d,2
0xeab70f918a7d8c7bfa096653d9d97bd5a4d68bf7,2
0xf030230018828f40e610718c83e03ba6a8773850,2
0xf1376072ae0e2e114ce40a3b43609a46ea99d348,2
0xf1ca9441e8bbde4dd3207a8ef5c4581cf7a8813f,2
0xf6e0d8081f59b7041ae6baa6af3374f0acd241ad,2
0xfaf4faf993ad3257c4c8a7d26230fb25d4d948ba,2
0xfb16bbbe36e4630b2d351d6083e6e2e766948c04,2
0xfc4755e96e7a935d72f7181adb0ae8b683d5d467,2
0xff068ec86c2c511d909ccb55985707b49eb4180e,2
0x0058eed2994f4f7f4bd366769aec5d0fd69bdea4,1
0x0558484b3ec19b7de4932aeadf3516f1823c6c23,1
0x07364d2dbc220d48ff2ac78efcdb4882770858ff,1
0x0c1e8ab66594ccec02a7eb6c1d3c02d768c09061,1
0x0cb2a2dcd489f3fdf4e1a9156dce2573cdcd32a5,1
0x0cda53a738dd457e2fb008dee5674bbdfaec83f9,1
0x0eb7e34f2c2be8af190c6bd56fd67e68e1c2200f,1
0x0fc0ebe63b74c3c90731a3cdae03c9a51b084f36,1
0x119460ecc4c538a02307e5d4f687bb83eddc5cf9,1
0x122025a645663a2891956d1f5096e8815e5ec8dd,1
0x1587c94817bfaa7172f6c82e03bb2ac3a5ad6102,1
0x15cdc6fe82b4adc404f9041962ee3a8be29f8fb3,1
0x1793d9b7ff6c67650828e912bd384ea19600435b,1
0x1c5f69d0c6e56c1af30d6a533a91c7f3a46301ad,1
0x1d38dd297f253837ef2b763ba9fe2eece45c48e4,1
0x1ec33f8d53bcaba1f1765132aa9ca402e4cb6da9,1
0x206eee77456933161403a4d04d39eff994abaa0b,1
0x22bb35fe32b66faeaa57b2cd468da2a055bd98a6,1
0x26cc7534ad3832b0f3c801e6926b218c44b8b902,1
0x2970f4ad9af5b7b77ddc49a30c35ccef395a01ab,1
0x2986e8ce96a6def7131a658f25da11a661153b21,1
0x29e898fb08018e80a2c82db10944347702a54991,1
0x2adf8c8b31809418f6ca45866cf1e4d2d73577bb,1
0x2bb65fdc4fd33263c373809ff9b31d81c4ccf3e1,1
0x2f39160df03e0ea404c7eb59c7ae1296040d2969,1
0x2f4a248ef0e3f868189f0c31c2e57f2023de49ce,1
0x31ada918a30a2ac87b753a55f969bffb04e816c7,1
0x34ea47e23d02a4550205fae8be71a53695ddc5f9,1
0x35268017d6fb589c91b88515b4fdf3bf65f1efe3,1
0x36ccfefeaef3d66c0e3a456ae9a0802aec49249e,1
0x372ba0323ec1152c2c028deab97c4adaf07191ae,1
0x39ffa0838b7b89e35dbf1ff2017001769b76dd37,1
0x3b408e3b847426f6b5b13851be5be475be369478,1
0x3c2cc1e798769c06a5cc75c146de966839b5ee58,1
Â 0x3f321a787159425f5553617b812369c5ce950725,1
0x40e202d737d55c8ccd76fa7d48ff2bbb071b2bc1,1
0x426261850e849013e7376a04ad0c2dce4f6c52cb,1
0x437a4f3c893c0e688ea4e75d189be0460a75f184,1
0x46774553bb668c8ac854aa4db5706f5c06fa7486,1
0x46e7bc113e1f0748ddd15b49975c9ddd8e348dd2,1
0x4a9fded8e0e4b642a890e637c038e0733d666789,1
0x4fb9f8b671c3d23921d749ca9066feb9dcbd34c8,1
0x50a38311098e0ce5874f9008e336c8cf3b5d7830,1
0x53b319b7c579da994f01a31263d48cb9aee07444,1
0x5671fd45912a2f93ea4d1706a4440898bbdb7335,1
0x568260f17772d41f0797690990ef9321cdd762f8,1
0x56a0cbd181220816452c61dae800f1fbb7e55260,1
0x5750296b2ee46480bc4e4199067ff0c349fdc95b,1
0x59b966031728ea3b778e02c493348d221a8f423c,1
0x5bd8eff5967b1f1812fda2d5e5802d28d1cd793c,1
0x5c5f6a8a19c8c0077e8c28e6c4f061af201bfe51,1
0x5e7cd592a306f7e6a030ed1b88cba5649e42af72,1
0x5f26cb352601ee3be5e980d368cb83dfa93a3e84,1
0x5ffe80eddce85095d7f4fbb9da4d69eaf4e91cc3,1
0x6165bc2c1868ab3911b6fad01800415c1bd552dd,1
0x62b9d72d55c63f443a8206c6fb88b7d3dd2ad159,1
0x62f7c9e6cd838e5f48d4083f08b97d05b31418bb,1
0x65297329d0f727e0b644393595a0dcc68e069292,1
0x66edf605398f2ff73d133979152db3c9f066d4e7,1
0x673b891f9230cba33a96a716d198db331241e6ca,1
0x67e03993d20f8f8b5eaac2801f14a461d75df555,1
0x6acd6a4cb407bf6e66d566246c3a7ff9d64beb82,1
0x6c882e9fe244344f635d5c49be1276138e6f40e2,1
0x6ea39ae73291027ec053a7856e681d26680a8679,1
0x6f50142e432b0f6cb851d93430fd5afaafa0734a,1
0x71ce36ec002b0b563931486b9e0dca8d990c3dd8,1
0x7233d5dc6e97ed59d774dec5a857232516ee7500,1
0x75f7b9e1df828cca64d92c1b8ff6e659565bdfb1,1
0x7663f1e0879f1c20dd6cad7452100699fda0bdac,1
0x7b0c75a71293338d378083d640e1572b5a296282,1
0x7cefce3a83932a14fcf947e439671ba03fecabc6,1
0x7d256df87ce7d803b464af34a82f5fe54437ecd8,1
0x7f93f6894c882d630bea18d3867803ff152474ad,1
0x826e41798099aaa19f7979c33ed8ddf5c3709365,1
0x828471c2cee64a8b146d82c46f39c1889810ab1d,1
0x83771c019a51462a3407c54345a02dc8c6a85108,1
0x845c36acb8133bc0a50b4fb432356647367d5081,1
0x84b126c2e11689fd8a51c20e7d5bed6616f60558,1
0x863740e765c918674da291672ad98e73ac5c1362,1
0x8654fe925701a6cb66c1cba2786ef4d3a68ad6fe,1
0x8f99125500e0e6943ec6c218bcfd8b387f15a976,1
0x8fe4e9cd42c09d71c3cb590f7c2949ca94065001,1
0x9196608efdadb21bc32934036d787e7005162ecb,1
0x95532c01d2e772602f17b6920f4a243569729869,1
0x97511d6c9697285ecb6b4f18aeae2e2a7d072d8e,1
0x9809d5059f5dfbcf379b3bfab5527132eee165e4,1
0x989923d33be0612680064dc7223a9f292c89a538,1
0x99a756c89f4208f65782b891e095098a782a2b5b,1
0x9d89d5a4600c4c59df5d8a3939427da9dcffb938,1
0x9f1bc89f26829f620e379e19581eff5474fd52d1,1
0xa3efc6fb6b56e41dcdbdc62687608d82d42f49f7,1
0xa42e74fc0acb92c2b5ba49777bd36be391baf310,1
0xa49e0bb000e449ffea0bdf8965b92804466cf16d,1
0xa8c1c346fdcda249fef8ade52c8912de7e817970,1
0xa9ef1e763fdead5eadc840e9118a65a47125f939,1
0xaa7c3d6dba1997b0087930d8e60bcbad24119e66,1
0xaaab39afe5bf887c12f20117e63334f257dfa211,1
0xabe34f49f32082ce5182c1e0a8612501e34037ce,1
0xadef3cb1f6b73a2c123e9510393d88e5bde91035,1
0xafa3cb4aed86b03c850144455bd89bedeae17ecf,1
0xafe72b993c6fc78e5c9dfbba25657b20188d617d,1
0xb30442caf3fa609516b65a4b68b88fdcdde50ecb,1
0xb4222c36084cf38156ad4a0ebd6610c2c40a0bf2,1
0xb6d3928bbf35339416eb4220bd3657b2fd74eb63,1
0xb7aa0094dc0e47107301300cfba780690660f7be,1
0xb816d4785b0a9a3939aef97198a9c26cb3d5e143,1
0xb83420956f67a31b8220f09891c8b7d39428e286,1
0xbd3e9f69353041968ce51ecbce9fd423b62107ae,1
0xbeaa4c5be755060984e3f2ab72220d67297b7054,1
0xbeb26afe641a88da9ddf1b152d240ca5917839bc,1
0xbf6413995e52a5ecfedcea4526a46f0c0aece96e,1
0xc008d917a5863fbe6a8da9bafd415755d22f93a9,1
0xc104a029699beb0502d7283fb8d02c5666f9042b,1
0xc1e1ef2a8246e6fd9bec9f32a9df58ce1aebdbe4,1
0xc236d48c63ff22339812cb359da9b8d75996664b,1
0xc8ab8157921bd0e02736e4bbafad4e38f4bbad99,1
0xce37ef768c937cc597636947816c446d5c7eaec5,1
0xcfc76ebe6b57fd8edfa33c5794386da4e3be9f76,1
0xd45da880ccba56527f943862835176c84a6c2a3d,1
0xd579ce721d18941f214037473bdc3a7ecfc0483a,1
0xd7e3019b1dd5ee6475c480381f62995ba0b0e5fa,1
0xdc56e8708b64b76e809dfcabde58e722b5a0eec2,1
0xddd4b8572c1460accc62a49f4f417777260776db,1
0xdedd40736823a6cc1197b72d5701a92f2c3e60eb,1
0xe02a65344647001f0c3dc2a16dc8d60f14e8a8ca,1
0xe4e01e5f6a9c306ad7ebca53beb943cf6b181045,1
0xe541f399af344cf8077cc2852abc03f92760abb2,1
0xe56b6907ccb6f5cca0fdf6b0cc7bf2e0c3aa57a1,1
0xe5f970949c81a6994d559fe058efe6f48be5ea67,1
0xe8ea5feef30b2d839562c7fac184af5898fceb65,1
0xebe8cbe0597bf8464e7e992b425b439f7b82e258,1
0xed8a42e44b937da01b8e047dc7a426e6052ef000,1
0xedbb35ed17524718002ed414afd71c533e74a5ba,1
0xeea2e675b5f739434fe42b4635a0296c41fd85f8,1
0xf06d7e4fbd1d097fed2169ab39b397e289d34360,1
0xf10ae6d2496dfdeafb9fe4e7c9012eb625d765f2,1
0xf17668ff22c63e63475d5f7dbdf7585d51e52c76,1
0xf1858e7c9c1027f777cfb6e3b504c0dba84dcc41,1
0xf4ee4717ece12ed2bd6e76d2b074c7d88599be1f,1
0xf62a49324b9d01e19cee5114175156723ae9691c,1
0xf7d5782719690994374ab25f9efa334391770be5,1
0xf85301143cabbd7aeda500b480a8dac24c051634,1
0xfe941d632381460023aef4455aa456e1b96e45bb,1
0xff3bceb0672287f8e807e5f034bd6ba34bfa1673,1
